Fecha/Data,Descripcion,Territorio/lurraldea,Codigo Eustat,Latitud,Longitud,Festivo
01/01/2020,Año nuevo,Todos/denak,,,,1
06/01/2020,Día de Reyes,Todos/denak,,,,1
19/03/2020,San José,Todos/denak,,,,1
09/04/2020,Jueves Santo,Todos/denak,,,,1
10/04/2020,Viernes Santo,Todos/denak,,,,1
13/04/2020,Lunes de Pascua de Resurrección,Todos/denak,,,,1
01/05/2020,Fiesta del trabajo,Todos/denak,,,,1
25/07/2020,Santiago Apóstol,Todos/denak,,,,1
15/08/2020,Asunción de la Virgen,Todos/denak,,,,1
12/10/2020,Fiesta Nacional,Todos/denak,,,,1
08/12/2020,Día de la Inmaculada Concepción,Todos/denak,,,,1
25/12/2020,Natividad del Señor,Todos/denak,,,,1
01/01/2022,Año nuevo,Todos/denak,,,,1
06/01/2022,Epifanía del Señor,Todos/denak,,,,1
14/04/2022,Jueves Santo,Todos/denak,,,,1
15/04/2022,Viernes Santo,Todos/denak,,,,1
18/04/2022,Lunes de Pascua de Resurrección,Todos/denak,,,,1
25/07/2022,Santiago Apóstol,Todos/denak,,,,1
15/08/2022,Asunción de la Virgen,Todos/denak,,,,1
06/09/2022,V Centenario de la Vuelta al Mundo capitaneada por Juan Sebastián Elcano,Todos/denak,,,,1
12/10/2022,Fiesta Nacional,Todos/denak,,,,1
01/11/2022,Todos los Santos,Todos/denak,,,,1
06/12/2022,Día de la Constitución,Todos/denak,,,,1
08/12/2022,Inmaculada Concepción,Todos/denak,,,,1
01/01/2021,Año nuevo,Todos/denak,,,,1
06/01/2021,Día de Reyes,Todos/denak,,,,1
19/03/2021,San José,Todos/denak,,,,1
01/04/2021,Jueves Santo,Todos/denak,,,,1
02/04/2021,Viernes Santo,Todos/denak,,,,1
05/04/2021,Lunes de Pascua de Resurrección,Todos/denak,,,,1
01/05/2021,Fiesta del trabajo,Todos/denak,,,,1
12/10/2021,Fiesta Nacional,Todos/denak,,,,1
01/11/2021,Todos los Santos,Todos/denak,,,,1
06/12/2021,Día de la Constitución,Todos/denak,,,,1
08/12/2021,Día de la Inmaculada Concepción,Todos/denak,,,,1
25/12/2021,Natividad del Señor,Todos/denak,,,,1
